慕	mu6
慘	caam2
慚	caam4
慢	maan6
慣	gwen3
慧	wai6
慨	koi3
慪	au3
慫	slung2
慮	lyu6
慰	wai3
慶	hing3
慷	hong2
慼	cik1
慽	cik1
慾	juk6
憂	jau1
憋	bit3
憎	zang1
憐	lin4
憑	pang4
憑	bang6
憠	kyut3
憤	fan5
憨	haam1
憫	man5
憲	hin3
憶	jik1
憾	haam6
懂	dung2
懇	han2
懈	haai5
應	jing3
應	jing1
懊	u3
懞	mung2
懞	mung4
懲	cing4
懵	mung2
懶	laan5
懷	waai4
懸	jyun4
懼	gyu6
戀	lyun2
戈	go1
戊	mu6
戌	slat1
戍	syu3
戎	jung4
成	sing4
我	ngo5
戒	gaai3
或	waak6
戚	cik1
戟	gik1
截	zit6
戰	zin3
戲	hi3
戳	cok3
戴	daai3
戶	wu6
户	wu6
戽	fu3
房	fong4
所	slo2
扁	ben2
扁	pin1
扇	sin3
手	sau2
才	coi4
扎	zaat3
扑	puk1
打	daa2
打	daa1
扔	jing4
托	tok3
扛	kong4
扛	gong1
扣	kau3
扭	nau2
扮	baan6
扯	ce2
扰	jiu2
扳	baan2
扳	paan1
扶	fu4
批	pai1
扼	ak1
扽	dan3
找	zaau2
承	sing4
技	gi6
抄	ceu1
抄	ceu3
把	baa2
抑	jik1
抓	zaa1
抓	zaau2
投	tau4
抖	dau2
抗	kong3
折	zit3
折	sit6
披	pi1
抬	toi4
抱	pu5
抵	dai2
抹	maat3
抹	mut3
押	aap3
抽	cau1
抿	man5
拄	zyu2
拆	caak3
拇	mu5
拈	nem1
拉	laai1
拋	paau1
拌	bun6
拍	paak3
拎	ning1
拐	gwaai2
拒	kyu5
拔	baat6
拖	to1
拘	kyu1
拙	zyut3
拚	pun3
招	ziu1
拜	baai3
括	gwaat3
拯	zing2
拱	gung2
拳	kyun4
拴	saan1
拼	ping3
拽	jai6
拾	sap6
拿	naa4
持	ci4
挂	gwaa3
指	zi2
按	on3
挑	tiu1
挖	wet3
挨	aai1
挨	ngaai4
挪	no4
振	zan3
挺	ting5
挼	no1
挽	waan5
挾	hip3
挾	gep3
捅	tung2
捆	kwan2
捉	zok3
捋	lyut3
捎	saau1
捎	sliu1
捏	net6
捐	gyun1
捕	pu2
捧	pung2
捨	se2
据	gyu3
据	gyu1
捱	ngaai4
捲	gyun2
捷	zit6
捺	naat6
捻	nip6
捼	no1
掀	hin1
掂	dim1
掃	slu3
掇	zyut3
授	sau6
掉	diu6
掌	zoeng2
掏	tu4
掐	haap3
排	paai4
掘	gwat6
掛	gwaa3
掠	loek6
採	coi2
探	taam3
接	zip3
控	hung3
推	tui1
掩	jim2
措	co3
掬	guk1
掭	tim2
掮	kin4
掰	baai1
揀	gen2
揈	gwang1
揈	fang4
揉	jau4
描	miu4
提	tai4
插	cep3
揖	jap1
揚	joeng4
換	wun6
揞	am2
握	ak1
揣	cui2
揩	haai1
揪	zau1
揫	zau1
揭	kit3
揮	wai1
援	jyun4
搊	cau1
損	slyun2
搓	co1
搖	jiu4
搛	gim1
搜	slau2
搞	gaau2
搡	slong2
搧	sin1
搨	taap3
搬	bun1
搭	daap3
搶	coeng2
搽	caa4
摔	slat1
摘	zaak6
摞	lo3
摟	lau2
摟	lau1
摩	mo1
摳	kau1
摸	mo1
摸	mok3
摹	mo1
摹	mo4
摺	zip3
撇	pit3
撈	lu1
撈	laau1
撈	leu1
撐	caang1
撒	slaat3
撓	naau4
撕	si1
撙	zyun2
撚	nen2
