tʃi33	zi3
tʃhi55	ci1
tʃhi35	ci2
tʃhi21	ci4
tʃi33	zi3
tʃi22	zi6
tʃhɐk5	cak1
ɬi21	sli4
ɬi21	sli4
tʃhɐi35	cai2
ɬi21	sli4
ʃɐi35	sai2
ʃɐi35	sai2
ʃɐi35	sai2
ʃɐi35	sai2
tʃi55	zi1
tʃi55	zi1
tʃi35	zi2
tʃi35	zi2
tʃi35	zi2
tʃi33	zi3
tʃi33	zi3
tʃi33	zi3
tʃek5	zik1
tʃhi55	ci1
tʃhi35	ci2
ʃi55	si1
tʃhi35	ci2
ʃi33	si3
ʃi21	si4
ʃi21	si4
ʃi24	si5
tʃhi21	ci4
ɬi21	sli4
ji21	ji4
ji24	ji5
ji24	ji5
ki55	gi1
ki35	gi2
ki35	gi2
ki33	gi3
hi55	hi1
hi35	hi2
ki35	gi2
khi21	ki4
khi21	ki4
khi21	ki4
khi21	ki4
khi21	ki4
ki22	gi6
ȵi21	nji4
ni24	ni5
hi55	hi1
hi55	hi1
hi35	hi2
ji55	ji1
ji33	ji3
ji24	ji5
hi24	hi5
hi24	hi5
hi22	hi6
ki55	gi1
ki55	gi1
ki55	gi1
ki55	gi1
ki35	gi2
ki33	gi3
hi35	hi2
hi33	hi3
hi33	hi3
khi21	ki4
ji21	ji4
hi55	hi1
hi55	hi1
ji55	ji1
ji55	ji1
lui24	lui5
lui24	lui5
tʃui35	zui2
ɬui21	slui4
tʃhui21	cui4
tʃhui55	cui1
tʃhui55	cui1
tʃhui21	cui4
ʃui21	sui4
ȵui21	njui4
ȵui24	njui5
khuɐi55	kwai1
kuɐi35	gwai2
khuɐi55	kwai1
khuɐi55	kwai1
kuɐi22	gwai6
ŋɐi21	ngai4
ŋɐi21	ngai4
fɐi55	fai1
wɐi35	wai2
wɐi35	wai2
wɐi35	wai2
wɐi33	wai3
wɐi21	wai4
wɐi21	wai4
lui55	lui1
lui24	lui5
lui21	lui4
tʃui33	zui3
tʃhui33	cui3
ɬy55	slyu1
ɬy55	slyu1
ɬɐi55	slai1
niu21	niu4
tʃhui33	cui3
ɬui22	slui6
ɬui22	slui6
ɬui22	slui6
tʃui55	zui1
tʃhui21	cui4
tʃhui21	cui4
tʃui21	zui4
ʃui55	sui1
ʃui33	sui3
tʃui55	zui1
ʃui35	sui2
ʃui21	sui4
kuɐi55	gwai1
kuɐi35	gwai2
khuɐi21	kwai4
khuɐi33	kwai3
kɐi33	gai3
khuɐi21	kwai4
khuɐi21	kwai4
kuɐi22	gwai6
wɐi21	wai4
wɐi21	wai4
wɐi21	wai4
wɐi21	wai4
wɐi21	wai4
fi55	fi1
fi55	fi1
fi35	fi2
phi35	pi2
fi55	fi1
fɐi33	fai3
fi21	fi4
fi35	fi2
mi21	mi4
mi24	mi5
mi21	mi4
mi21	mi4
kuɐi55	gwai1
kuɐi35	gwai2
kuɐi33	gwai3
ŋɐi21	ngai4
wɐi55	wai1
wɐi55	wai1
wɐi55	wai1
wɐi22	wai6
wɐi55	wai1
wɐi33	wai3
wɐi33	wai3
wɐi21	wai4
wɐi21	wai4
wɐi24	wai5
wɐi24	wai5
wɐi24	wai5
wɐi21	wai4
wɐi21	wai4
wɐi21	wai4
hui21	hui4
pau55	baau1
pou35	bou2
pou35	bou2
pou35	bou2
pou33	bou3
phou21	pou4
phou24	pou5
pou22	bou6
pu21	bu4
mou21	mou4
mou21	mou4
mou21	mou4
tou55	dou1
tou55	dou1
tou35	dou2
tou35	dou2
tou35	dou2
tou35	dou2
tou33	dou3
tou35	dou2
thou55	tou1
thou55	tou1
thou35	tou2
thou33	tou3
thou21	tou4
thou21	tou4
thou21	tou4
thou21	tou4
thou21	tou4
thou21	tou4
tou21	dou4
tou21	dou4
tou21	dou4
tou21	dou4
tiu21	diu4
nou24	nou5
nou24	nou5
lou21	lou4
lɛu55	leu1
lou21	lou4
lou21	lou4
lou21	lou4
lou24	lou5
lou24	lou5
lou21	lou4
lou21	lou4
tʃou55	zou1
tʃou55	zou1
tʃou35	zou2
tʃou35	zou2
tʃhou35	cou2
tʃhou33	cou3
tʃou33	zou3
tʃhou55	cou1
tʃhou35	cou2
tʃhou55	cou1
tʃhou55	cou1
tʃhou21	cou4
tʃhou21	cou4
tʃou22	zou6
tʃhou24	cou5
ɬou55	slou1
ɬou55	slou1
ɬou55	slou1
ɬɐu35	slau2
ɬou33	slou3
ɬou35	slou2
ɬou33	slou3
tʃhou33	cou3
kou55	gou1
kou55	gou1
kou55	gou1
kou55	gou1
kou55	gou1
kou35	gou2
kou33	gou3
kou55	gou1
hau35	haau2
hau55	haau1
hau55	haau1
khou33	kou3
khau33	kaau3
ŋou21	ngou4
ŋou21	ngou4
hou55	hou1
hou55	hou1
hou35	hou2
hou33	hou3
hou33	hou3
hou21	hou4
hou21	hou4
hou21	hou4
hou21	hou4
hou21	hou4
hou21	hou4
øou33	ou3
øou33	ou3
pɛu55	beu1
pau55	baau1
pau55	baau1
pɛu35	beu2
phau33	paau3
pou22	bou6
phau33	paau3
phau55	paau1
phau55	paau1
phɛu33	peu3
phau33	paau3
phau21	paau4
phau35	paau2
phɛu21	peu4
pau55	baau1
phɛu21	peu4
mau21	maau4
mɛu55	meu1
nau21	naau4
mau24	maau5
mau22	maau6
nau21	naau4
nau21	naau4
tʃhiu21	ciu4
tʃɛu33	zeu3
tʃa55	zaa1
tʃau35	zaau2
tʃɛu35	zeu2
tʃau33	zaau3
tʃhɛu55	ceu1
tʃhɛu55	ceu1
