宭	kwan4
宮	gung1
宰	zoi2
害	hoi6
宴	jin3
宵	sliu1
家	gaa1
宸	san4
容	jung4
宿	slau3
宿	sluk1
寁	zaam2
寂	zik6
寄	gi3
寅	jan4
密	mat6
寇	kau3
富	fu3
寐	mi6
寑	cam2
寒	hon4
寓	jyu6
寘	zi3
寞	mok6
察	caat3
寡	gwaa2
寢	cam2
寤	ng6
寥	liu4
實	sat6
寧	ning4
寨	zaai6
審	sam2
寫	sle2
寬	fun1
寮	liu4
寰	waan4
寵	cung2
寶	bu2
寸	cyun3
寺	ci6
寺	zy6
封	fung1
射	se6
將	zoeng1
將	zoeng3
專	zyun1
尉	wai3
尉	wat1
尊	zyun1
尋	cam4
對	dui3
導	du6
小	sliu2
尐	zik1
尐	zit3
少	siu2
少	siu3
尔	ji5
尕	gaa1
尖	zim1
尚	soeng2
尚	soeng6
尤	jau4
尥	liu6
尪	wong1
尬	gaai3
就	zau6
尷	gaam3
尸	si1
尹	jan5
尹	wan5
尺	cek3
尻	haau1
尼	ni4
尾	mi5
尿	niu6
局	guk6
屁	pi3
屄	be1
屄	bi1
居	gyu1
屆	gaai3
屈	wat1
屋	uk1
屌	deu1
屌	diu2
屍	si1
屎	si2
屏	bing2
屏	ping4
屐	kek1
屐	kek6
屑	slit3
展	zin2
屘	mi1
屙	o1
屜	tai3
屠	tu4
屢	lyu5
屣	slai2
